
#Namespace	Article	Revisions
4	Wikipedia:Administrator intervention against vandalism	1510480
4	Wikipedia:Administrators' noticeboard/Incidents	1076086
2	User:Cyde/List of candidates for speedy deletion/Subpage	936504
4	Wikipedia:Sandbox	709295
4	Wikipedia:Requests for page protection	536431
4	Wikipedia:Reference desk/Science	465807
4	Wikipedia:Help desk	409333
4	Wikipedia:WikiProject Spam/LinkReports	408658
4	Wikipedia:Usernames for administrator attention	397092
4	Wikipedia:Reference desk/Humanities	375723
11	Template talk:Did you know	359214
4	Wikipedia:Sandbox/Archive	326362
4	Wikipedia:Administrators' noticeboard	322361
4	Wikipedia:Reference desk/Miscellaneous	319927
2	User:DeltaQuad/UAA/Wait	274899
2	User:DeltaQuad/UAA/Time	256189
4	Wikipedia:In the news/Candidates	253860
4	Wikipedia:Administrator intervention against vandalism/TB2	227025
4	Wikipedia:Usernames for administrator attention/Bot	221759
2	User:Cyde/List of current proposed deletions	217493
4	Wikipedia:Reference desk/Language	213630
2	User:Ops Monitor (WMF)/sandbox	207029
2	User:AvicBot/speedy	203237
4	Wikipedia:Administrators' noticeboard/Edit warring	193935
4	Wikipedia:Reference desk/Computing	192099
4	Wikipedia:Open proxy detection	190472
2	User:West.andrew.g/Dead links	189002
4	Wikipedia:Village pump (technical)	178737
4	Wikipedia:Teahouse	162707
3	User talk:Jimbo Wales	151434
4	Wikipedia:Good article nominations	150136
2	User:Cyde/List of requests for unblock	146874
4	Wikipedia:Introduction	145720
1	Talk:Main Page	143539
4	Wikipedia:Biographies of living persons/Noticeboard	138459
4	Wikipedia:Changing username/Simple	137670
4	Wikipedia:Reliable sources/Noticeboard	135063
2	User:AnomieBOT/SPERTable	133652
4	Wikipedia:Sockpuppet investigations/Cases/Overview	132687
4	Wikipedia:Village pump (policy)	124303
4	Wikipedia:Tutorial/Editing/sandbox	122706
4	Wikipedia:Village pump (proposals)	118697
4	Wikipedia:Reference desk/Mathematics	117551
4	Wikipedia:Requested moves/Current discussions	112154
4	Wikipedia:Community portal/Opentask	109858
4	Wikipedia:Requested moves/Current discussions (alt)	107026
4	Wikipedia:Dashboard/Requested moves	102370
4	Wikipedia:Articles for creation/Redirects	99653
4	Wikipedia:Reference desk/Entertainment	95704
4	Wikipedia:Did you know/DYK hook count	94119
4	Wikipedia:Arbitration/Requests/Enforcement	90468
4	Wikipedia:Categories for discussion/Speedy	86873
4	Wikipedia:Main Page/Errors	86653
2	User:Cyberbot I/Requests for unblock report	86191
5	Wikipedia talk:Did you know	85641
5	Wikipedia talk:WikiProject Football	82463
2	User:Cyberpower678/RfX Report	78662
2	User:VeblenBot/PERtable	78179
2	User:COIBot/LinkReports	77998
10	Template:AFC statistics	76226
2	User:Wilhelmina Will/sandbox	75959
4	Wikipedia:Requested moves	75733
2	User:DeltaQuad/SPI case list	75537
5	Wikipedia talk:Requests for adminship	75359
5	Wikipedia talk:Manual of Style	74856
2	User:JaGa/Short leaderboard	73120
4	Wikipedia:Requests for undeletion	72584
4	Wikipedia:Suspected copyright violations	71985
2	User:Cyde/List of candidates for speedy deletion	70786
4	Wikipedia:Pages needing translation into English	70513
2	User:JamesR/AdminStats	70110
3	User talk:Drmies	66668
2	User:B-bot/Event log	65995
10	Template:Cratstats	65804
5	Wikipedia talk:WikiProject Video games	65634
4	Wikipedia:Dispute resolution noticeboard	63889
2	User:DatBot/pendingbacklog	63839
4	Wikipedia:Articles for deletion/Old	62135
4	Wikipedia:Articles for creation/recent	60791
5	Wikipedia talk:WikiProject Medicine	59955
4	Wikipedia:Conflict of interest/Noticeboard	58794
10	Template:Did you know/Preparation area 1	58506
4	Wikipedia:Media copyright questions	56494
4	Wikipedia:Arbitration/Requests	56233
4	Wikipedia:Dashboard/Help noticeboards	56099
5	Wikipedia talk:Reference desk	56000
5	Wikipedia talk:WikiProject Military history	55998
4	Wikipedia:Categories for discussion/Working	55787
4	Wikipedia:Dashboard/Administrative noticeboards	55547
4	Wikipedia:Toolserver/status	54127
4	Wikipedia:Requested moves/Current discussions (table)	51242
2	User:Cyde/List of requests for help	50689
0	List of WWE personnel	50420
4	Wikipedia:Requested moves/Technical requests	49482
4	Wikipedia:WikiProject Articles for creation/Help desk	48918
4	Wikipedia:Village pump (miscellaneous)	48885
2	User:VeblenBot/SPERtable	47427
4	Wikipedia:Huggle/Whitelist	47250
3	User talk:Eric Corbett	47052
0	George W. Bush	46779
2	User:Cyberpower678/Tally	46488
1	Talk:Barack Obama	45925
5	Wikipedia talk:Manual of Style/Dates and numbers	45877
10	Template:NUMBEROF/data	45860
5	Wikipedia talk:WikiProject Professional wrestling	45759
4	Wikipedia:Miscellany for deletion	45665
3	User talk:ImageTaggingBot/log	45263
3	User talk:Dr. Blofeld	45019
4	Wikipedia:Editor assistance/Requests	44856
2	User:Tigerboy1966/sandbox13	44739
4	Wikipedia:Wikiquette assistance	44401
2	User:X!/RfX Report	44270
3	User talk:DGG	44267
5	Wikipedia talk:Verifiability	43784
4	Wikipedia:BAG/Status	43451
2	User:Jgjsmith006/sandbox	43110
4	Wikipedia:Arbitration/Requests/Case	43072
5	Wikipedia talk:Criteria for speedy deletion	42091
10	Template:DRN case status	41662
100	Portal:Current events/Sports	41630
4	Wikipedia:Tutorial/Formatting/sandbox	41363
4	Wikipedia:Fringe theories/Noticeboard	40602
4	Wikipedia:Votes for deletion/archive May 2004	40259
4	Wikipedia:Department of Fun/Word Association	39837
0	United States	39230
1	Talk:Donald Trump	38995
2	User:Peter I. Vardy/sandbox-13	38323
4	Wikipedia:Changing username/Usurpations	38198
2	User:WQUlrich/sandbox	38005
5	Wikipedia talk:Vital articles/Level/4	37444
2	User:VeblenBot/C/Good article nominees	37432
4	Wikipedia:Dashboard/Relisted AfD debates	37233
4	Wikipedia:Dashboard/Editorial noticeboards	37192
5	Wikipedia talk:WikiProject Mathematics	36833
2	User:VeblenBot/C/Good article nominees awaiting review	36485
1	Talk:Global warming	36302
100	Portal:Current events/Sports/Sidebar	36296
4	Wikipedia:Copyright problems	36283
10	Template:In the news	35935
4	Wikipedia:Neutral point of view/Noticeboard	35590
4	Wikipedia:Bot requests	35469
4	Wikipedia:Edit filter/False positives/Reports	35453
4	Wikipedia:Files for upload	35247
0	Wikipedia	35060
3	User talk:OrphanBot	34682
4	Wikipedia:Graphics Lab/Illustration workshop	34172
3	User talk:SandyGeorgia	34046
4	Wikipedia:Sandbox/Archive2	33902
3	User talk:Oshwah	33872
4	Wikipedia:Featured article candidates	33510
5	Wikipedia talk:Featured article candidates	33431
4	Wikipedia:Cleanup	33199
5	Wikipedia talk:Non-free content	32688
3	User talk:Moonriddengirl	32640
4	Wikipedia:Featured picture candidates	32561
2	User:Cyde/List of old proposed deletions	32339
1	Talk:Intelligent design	32127
4	Wikipedia:Sandbox/History	32066
4	Wikipedia:WikiProject Resource Exchange/Resource Request	32057
5	Wikipedia talk:WikiProject Film	31718
4	Wikipedia:Dashboard/Village pump	31644
2	User:VeblenBot/C/Good article nominees on review	31495
3	User talk:Bishonen	31459
118	Draft:Sandbox	31455
3	User talk:Materialscientist	31372
2	User:Tachs/Sandbox3	31015
2	User:Peter I. Vardy/sandbox	30367
0	Michael Jackson	30223
4	Wikipedia:Version 1.0 Editorial Team/Biography (military) articles by quality log	30136
0	Jesus	30128
4	Wikipedia:Templates for discussion	30093
5	Wikipedia talk:No original research	30069
2	User:Amalthea/RfX/Tally	29938
1	Talk:Jesus	29812
5	Wikipedia talk:WikiProject Spam	29784
4	Wikipedia:Today's featured article/requests	29604
1	Talk:United States	29339
3	User talk:Rich Farmbrough	29145
4	Wikipedia:Deletion review	28488
4	Wikipedia:Village pump archive 2004-09-26	28485
1	Talk:Sarah Palin	28429
5	Wikipedia talk:WikiProject Anime and manga	28421
10	Template:Did you know	28392
2	User:Jjaey/sandbox	27834
4	Wikipedia:Dashboard/Requests for comment	27759
0	Catholic Church	27710
0	Donald Trump	27706
0	List of programs broadcast by ABS-CBN	27361
4	Wikipedia:Requests for adminship	27341
5	Wikipedia talk:WikiProject Birds	27159
0	Barack Obama	27146
3	User talk:Diannaa	27088
4	Wikipedia:Requests for investigation	27079
2	User:ClueBot/PossibleVandalism	26975
1	Talk:Gamergate controversy	26890
5	Wikipedia talk:In the news	26816
4	Wikipedia:Bureaucrats' noticeboard	26355
3	User talk:Bbb23	26337
0	Adolf Hitler	26283
4	Wikipedia:Main Page/Protection	26101
4	Wikipedia:WikiProject Deletion sorting/Bands and musicians	26049
5	Wikipedia talk:Article titles	26039
4	Wikipedia:Files for discussion	25915
4	Wikipedia:Arbitration/Requests/Clarification and Amendment	25851
4	Wikipedia:Motto of the day/Nominations/In review	25786
4	Wikipedia:Requests for permissions/Rollback	25553
3	User talk:Doug Weller	25524
5	Wikipedia talk:WikiProject Ice Hockey	25409
1	Talk:Homeopathy	25319
5	Wikipedia talk:Biographies of living persons	25248
0	World War II	25239
4	Wikipedia:New contributors' help page	25151
0	Roger Federer	25093
5	Wikipedia talk:Notability	25059
0	The Undertaker	24938
0	Britney Spears	24847
0	ATP Tour records	24812
1	Talk:Gaza War (2008–09)	24810
2	User:Avicennasis/reports/uaa/report/by5min	24680
0	India	24562
4	Wikipedia:Graphics Lab/Photography workshop	24359
3	User talk:Crisco 1492	24354
2	User:DumbBOT/ProdSummary	24258
2	User:EranBot/Copyright/rc	24174
0	Deaths in 2018	24160
2	User:Tachs/Sandbox5	24075
4	Wikipedia:Requested articles/Culture and fine arts	23958
4	Wikipedia:Requests for page protection/Rolling archive	23905
1	Talk:September 11 attacks	23788
5	Wikipedia talk:Noticeboard for India-related topics	23727
0	List of programs broadcast by GMA Network	23547
0	The Beatles	23543
4	Wikipedia:Articles for deletion/Old/Open AfDs	23428
4	Wikipedia:WikiProject Guild of Copy Editors/Requests	23382
2	User:AnomieBOT/PERTable	23360
1	Talk:Evolution	23324
3	User talk:Doc James	23293
0	United Kingdom	23292
4	Wikipedia:Good articles	23223
4	Wikipedia:WikiProject Deletion sorting/People	23222
10	Template:Vandalism information	23214
2	User:Wilhelmina Will/Sandbox 3	23089
2	User:Tangotango/RfA Analysis/Report	23033
4	Wikipedia:Bureaucrats' noticeboard/RfA Report	22975
0	Kane (wrestler)	22961
1	Talk:George W. Bush	22956
4	Wikipedia:Redirects for discussion	22955
3	User talk:JamesBWatson	22937
5	Wikipedia talk:WikiProject Cricket	22862
3	User talk:HJ Mitchell	22857
3	User talk:EdJohnston	22789
0	List of Ben 10 aliens	22766
1	Talk:Race and intelligence	22701
1	Talk:Climatic Research Unit email controversy	22670
1	Talk:Muhammad	22655
5	Wikipedia talk:WikiProject Articles for creation	22633
4	Wikipedia:WikiProject Deletion sorting/India	22555
0	Deaths in 2013	22531
3	User talk:Sandstein	22530
10	Template:Did you know/Preparation area 2	22530
0	List of Impact Wrestling personnel	22428
0	Jehovah's Witnesses	22397
5	Wikipedia talk:What Wikipedia is not	22354
5	Wikipedia talk:Arbitration Committee/Noticeboard	22288
1	Talk:Cities and towns during the Syrian Civil War	22255
3	User talk:Iridescent	22243
0	Wii	22177
1	Talk:Prem Rawat	22120
0	Real Madrid CF	22112
2	User:Nightstallion/notes	22091
3	User talk:Jimfbleak	22074
2	User:East London Line/Sandbox	22057
1	Talk:Circumcision	21975
3	User talk:The Rambling Man	21962
0	George Washington	21911
4	Wikipedia:Requests for permissions/Confirmed	21883
0	Deaths in 2017	21855
3	User talk:NeilN	21649
0	FC Barcelona	21629
0	Global warming	21584
0	European Union	21537
1	Talk:Catholic Church	21520
2	User:BobDylanFan1994/sandbox	21265
4	Wikipedia:Non-free content review	21227
0	Led Zeppelin	21084
0	List of countries and dependencies by population	21082
4	Wikipedia:Good articles/recent	21050
5	Wikipedia talk:WikiProject Comics	20985
1	Talk:India	20976
5	Wikipedia talk:Good article nominations	20970
0	New York City	20957
0	Beyoncé	20945
0	Deaths in 2009	20905
2	User:Δ/Sandbox	20883
0	Deaths in 2010	20858
0	2006 Lebanon War	20800
0	Canada	20794
4	Wikipedia:Tutorial/Wikipedia links/sandbox	20717
0	American Idol	20712
4	Wikipedia:Requests for comment/User names	20577
0	PlayStation 3	20574
0	Doctor Who	20505
0	Islam	20491
4	Wikipedia:Historical archive/Sandbox	20464
0	Newcastle United F.C.	20458
4	Wikipedia:Australian Wikipedians' notice board	20450
3	User talk:GoodDay	20349
4	Wikipedia:Lists of protected pages	20300
0	Muhammad	20295
2	User:TedderBot/CurrentPruneBot/census	20289
4	Wikipedia:WikiProject Deletion sorting/United States of America	20286
0	List of best-selling music artists	20242
0	Eminem	20181
0	Philippines	20176
0	Chicago	20159
0	Red Hot Chili Peppers	20028
0	Deaths in 2014	20005
0	RuneScape	19982
2	User:Grahamec/Members	19925
0	John Cena	19923
3	User talk:Xeno	19880
0	Israel	19853
0	Deaths in December 2016	19848
3	User talk:Northamerica1000	19845
4	Wikipedia:Article Collaboration and Improvement Drive	19822
0	WWE	19729
5	Wikipedia talk:Citing sources	19717
0	England national football team	19696
4	Wikipedia:Administrators' noticeboard/Requests for closure	19694
4	Wikipedia:Third opinion	19656
9	MediaWiki talk:Spam-blacklist	19646
0	Turkey	19618
100	Portal:Current events/Sidebar	19618
4	Wikipedia:WikiProject Deletion sorting/Business	19598
3	User talk:Ryulong	19582
5	Wikipedia talk:Articles for deletion	19481
4	Wikipedia:WikiProject Deletion sorting/Actors and filmmakers	19473
0	Syrian Civil War	19449
0	London	19447
4	Wikipedia:Possibly unfree files	19329
5	Wikipedia talk:Reliable sources	19265
1	Talk:Israel	19227
0	Germany	19118
4	Wikipedia:WikiProject Chemicals/Index	19107
0	Deaths in 2008	19075
1	Talk:Adolf Hitler	19020
0	List of EastEnders characters	19016
0	September 11 attacks	19009
4	Wikipedia:No original research/Noticeboard	19006
3	User talk:Acroterion	19005
0	Vijay (actor)	19000
0	WWE Raw	18979
1	Talk:Atheism	18930
1	Talk:Abortion	18916
0	Iran	18844
0	South Korea	18831
0	Christianity	18830
0	Greece	18823
0	Elvis Presley	18811
3	User talk:Gerda Arendt	18802
0	Mariah Carey	18785
0	List of highest-grossing films	18769
3	User talk:Fastily	18749
0	Ronald Reagan	18732
0	List of current UFC fighters	18726
2	User:AvicBot/AfCCSD	18665
0	List of Coronation Street characters	18626
5	Wikipedia talk:AutoWikiBrowser/Bugs	18616
1	Talk:Chiropractic	18605
1	Talk:International recognition of Kosovo	18602
0	List of programs broadcast by Cartoon Network	18602
0	Anarchism	18585
0	Manchester United F.C.	18577
3	User talk:Kudpung	18531
4	Wikipedia:WikiProject Football	18510
1	Talk:Anarchism	18457
0	Pakistan	18398
0	Same-sex marriage	18368
10	Template:X1	18329
0	Deaths in 2015	18306
2	User:VeblenBot/C/Good article nominees currently on hold	18285
3	User talk:Dennis Brown	18275
4	Wikipedia:Village pump (idea lab)	18250
5	Wikipedia talk:WikiProject Ships	18233
3	User talk:Ceoil	18228
0	Deaths in 2007	18221
0	Ulysses S. Grant	18209
5	Wikipedia talk:WikiProject Baseball	18173
0	Paul McCartney	18156
4	Wikipedia:VisualEditor/Feedback	18154
5	Wikipedia talk:WikiProject Formula One	18084
4	Wikipedia:Categories for discussion/User	18077
0	Portugal	18071
0	Joseph Stalin	18048
4	Wikipedia:WikiProject Deletion sorting/Sportspeople	18021
3	User talk:William M. Connolley	18003
4	Wikipedia:WikiProject Military history/Assessment/Requests	17968
3	User talk:Alison	17929
0	Christina Aguilera	17883
2	User:ChzzBot IV/log	17834
0	Iraq War	17829
0	Madonna (entertainer)	17806
828	Module:Syrian Civil War detailed map	17767
0	Chelsea F.C.	17751
0	Paris	17669
1	Talk:Michael Jackson	17656
5	Wikipedia talk:Sandbox	17588
3	User talk:Raul654	17555
0	Japan	17534
3	User talk:Piotrus	17511
0	Edge (wrestler)	17462
1	Talk:World War II	17446
0	The Holocaust	17406
0	2008 United States presidential election	17404
4	Wikipedia:Sockpuppet investigations/SPI/Subpage - Open suspected sockpuppet investigations	17403
1	Talk:United Kingdom	17379
0	Celtic F.C.	17372
3	User talk:ClueBot Commons	17366
0	Deaths in 2012	17342
3	User talk:C.Fred	17319
0	List of programs broadcast by Nickelodeon	17267
13	Help talk:Citation Style 1	17229
3	User talk:Orangemike	17220
0	Hurricane Katrina	17196
3	User talk:Casliber	17166
0	List of Major League Baseball career home run leaders	17146
0	Cristiano Ronaldo	17142
2	User:GA bot/Stats	17135
1	Talk:Jehovah's Witnesses	17129
3	User talk:John	17114
0	Star Wars	17099
0	World War I	17088
0	Big Show	17042
0	Xbox 360	17020
0	List of Naruto characters	16988
10	Template:Did you know/Preparation area 3	16979
0	Russia	16941
0	Guns N' Roses	16939
1	Talk:Thomas Jefferson	16926
0	Pink Floyd	16925
3	User talk:Gwen Gale	16896
0	Thomas Jefferson	16865
3	User talk:Anna Frodesiak	16852
4	Wikipedia:Tutorial/Citing sources/sandbox	16830
0	Triple H	16805
2	User:Avicennasis/reports/uaa/report	16753
4	Wikipedia:Requested articles/Social sciences	16740
5	Wikipedia talk:Tambayan Philippines	16737
3	User talk:Newyorkbrad	16732
0	Pope John Paul II	16730
3	User talk:YellowMonkey	16729
0	China	16704
0	Lionel Messi	16641
0	Scotland	16639
5	Wikipedia talk:WikiProject Opera	16610
0	2016 United States presidential election	16595
0	Albert Einstein	16589
3	User talk:Favonian	16568
3	User talk:ImageRemovalBot/log	16543
0	Kelly Clarkson	16484
3	User talk:Sitush	16464
4	Wikipedia:WikiProject Deletion sorting/Academics and educators	16462
0	Italy	16460
0	Brazil	16458
1	Talk:Syrian Civil War	16440
0	Deaths in 2011	16438
0	Vietnam War	16414
1	Talk:British Isles	16413
5	Wikipedia talk:AutoWikiBrowser	16412
2	User:SQL/Blanked	16390
2	User:Wilhelmina Will/Sandbox	16378
3	User talk:Durova	16367
5	Wikipedia talk:WikiProject U.S. Roads	16364
1	Talk:List of scientists who disagree with the scientific consensus on global warming	16364
4	Wikipedia:Version 1.0 Editorial Team/Rugby league articles by quality log	16355
3	User talk:Cirt	16355
0	Blackout (Britney Spears album)	16343
4	Wikipedia:Requested articles/Sports	16335
0	Harry Potter	16330
2	User:Orser67/sandbox	16325
3	User talk:Malik Shabazz	16317
5	Wikipedia talk:WikiProject Albums	16310
0	Bill Clinton	16285
5	Wikipedia talk:WikiProject Military history/Coordinators	16254
0	Dwayne Johnson	16226
4	Wikipedia:Categories for discussion	16205
1	Talk:Cold fusion	16204
3	User talk:Gogo Dodo	16198
5	Wikipedia talk:WikiProject LGBT studies	16179
0	United States men's national soccer team	16158
0	West Ham United F.C.	16140
0	Hillary Clinton	16106
0	Blink-182	16092
0	List of most-viewed YouTube videos	16060
0	Cannabis (drug)	16057
0	Abraham Lincoln	16045
